kind,level,run_dir,score_col,auc_window,auc_file_mean,tau_q,tau,tail_norm,tail_abn,delta_tail
lowpass,0,/content/destroy_runs/lowpass_L0,S_raw,0.6694202889534187,0.7650196518809659,0.999,44003.4693410418,0.0010121457489878543,0.033038801383019595,0.03202665563403174
lowpass,1,/content/destroy_runs/lowpass_L1,S_raw,0.7203059845304625,0.898301516002246,0.999,30532.95163978863,0.0010121457489878543,0.010372646945831733,0.009360501196843878
lowpass,2,/content/destroy_runs/lowpass_L2,S_raw,0.6233089428112377,0.6700589556428972,0.999,32870.5573316861,0.0010121457489878543,0.00384172109104879,0.0028295753420609355
reverb,0,/content/destroy_runs/reverb_L0,S_raw,0.6814888535651016,0.8170971364402022,0.999,41088.061512545,0.0010121457489878543,0.0384172109104879,0.037405065161500044
reverb,1,/content/destroy_runs/reverb_L1,S_raw,0.8961965405845949,0.9919988770353734,0.999,27654.61218077354,0.0010121457489878543,0.06492508643872455,0.0639129406897367
reverb,2,/content/destroy_runs/reverb_L2,S_raw,0.9030548681760846,0.9948764738910725,0.999,35163.83814820678,0.0010121457489878543,0.039569727237802534,0.03855758148881468
smear,0,/content/destroy_runs/smear_L0,S_raw,0.6814888535651016,0.8170971364402022,0.999,41088.061512545,0.0010121457489878543,0.0384172109104879,0.037405065161500044
smear,1,/content/destroy_runs/smear_L1,S_raw,0.8627593744993708,0.9811201572150479,0.999,32692.913396410386,0.0010121457489878543,0.03803303880138302,0.037020893052395164
smear,2,/content/destroy_runs/smear_L2,S_raw,0.8122739878153672,0.9565553060078608,0.999,25074.585661962366,0.0010121457489878543,0.0714560122935075,0.07044386654451965
